,URL,Extracted URL,News Type,Collection,Authors,Goose,Newspaper,DiffBot
0,https://pjmedia.com/victordavishanson/obamas-gift-to-trump/,https://pjmedia.com/victordavishanson/obamas-gift-to-trump/,blogs,U.S. Political Blogs,VICTOR DAVIS HANSON,[],[],Victor Davis Hanson
0,http://www.112noordholland.nl/regio-s/zaanstreek/scooterrijder-gewond-door-ongeval-met-auto-in-assendelft,http://www.112noordholland.nl/regio-s/zaanstreek/scooterrijder-gewond-door-ongeval-met-auto-in-assendelft,international,EMM,Final Editor 112NH,[],[Geschreven Door],
0,http://www.5septiembre.cu/dedicaran-a-fidel-aniversario-13-de-brigada-jose-marti-en-cienfuegos/,http://www.5septiembre.cu/dedicaran-a-fidel-aniversario-13-de-brigada-jose-marti-en-cienfuegos/,international,EMM,Emma S. Morales Rodríguez,[],"[Ines Toledo, Morales Rodr Guez, Emma S, Licenciada En Filolog A En La Universidad Central De Las Villas]",ERROR x 2
0,http://www.abc.com.py/nacionales/sin-luz-en-terapia-infantil-1639904.html,http://www.abc.com.py/nacionales/sin-luz-en-terapia-infantil-1639904.html,international,EMM,X,[],[Abc Color],X
0,http://www.bbc.com/swahili/habari-41591645,http://www.bbc.com/swahili/habari-41591645,international,EMM,X,[],[],X
0,http://www.blikopnieuws.nl/nieuws/257573/verdachte-michael-p-27-zaak-anne-faber-blijft-vastzitten.html,http://www.blikopnieuws.nl/nieuws/257573/verdachte-michael-p-27-zaak-anne-faber-blijft-vastzitten.html,international,EMM,X,[],[],X
0,https://www.demorgen.be/buitenland/vs-trekken-zich-terug-uit-unesco-b2fe3ac3/,https://www.demorgen.be/buitenland/vs-trekken-zich-terug-uit-unesco-b2fe3ac3/,international,EMM,X,[],"[Belga Reuters, - Bron]",Redactie
0,http://www.diariocordoba.com/noticias/temadia/mariano-rajoy-pone-marcha-maquinaria-155_1177782.html,http://www.diariocordoba.com/noticias/temadia/mariano-rajoy-pone-marcha-maquinaria-155_1177782.html,international,EMM,FRAN OSAMBELA,[],[Diario C Rdoba],Diario Córdoba
0,http://www.elsalvador.com/noticias/nacional/407064/nayib-bukele-despide-a-11-militantes-del-fmln-para-vengarse-por-su-expulsion/,http://www.elsalvador.com/noticias/nacional/407064/nayib-bukele-despide-a-11-militantes-del-fmln-para-vengarse-por-su-expulsion/,international,EMM,Eugenia Velásquez / Luis Andrés Marroquín,[],[],X
0,http://www.hindustantimes.com/india-news/he-hugged-me-burst-into-tears-rajesh-and-nupur-talwar-break-down-say-justice-delivered/story-KGcNkel6EVqXLo9tlLyH2I.html,http://www.hindustantimes.com/india-news/he-hugged-me-burst-into-tears-rajesh-and-nupur-talwar-break-down-say-justice-delivered/story-KGcNkel6EVqXLo9tlLyH2I.html,international,EMM,Peeyush Khandelwal,[Peeyush Khandelwal],[],Peeyush Khandelwal
0,http://www.irishexaminer.com/examviral/vladimir-putin-was-given-a-puppy-as-a-birthday-gift-and-it-was-all-totally-normal-809547.html,http://www.irishexaminer.com/examviral/vladimir-putin-was-given-a-puppy-as-a-birthday-gift-and-it-was-all-totally-normal-809547.html,international,EMM,X,[],"[Wednesday October, - Pm]",ERROR
0,http://www.lemonde.fr/international/article/2017/10/12/les-etats-unis-se-retirent-de-l-unesco_5199987_3210.html,http://www.lemonde.fr/international/article/2017/10/12/les-etats-unis-se-retirent-de-l-unesco_5199987_3210.html,international,EMM,X,[],[],X
0,http://www.kn-online.de/News/Aktuelle-Nachrichten-Schleswig-Holstein/Nachrichten-Schleswig-Holstein/Verdaechtiger-zeigte-Ort-Mordkommission-findet-Leiche-auf-Amrum,http://www.kn-online.de/News/Aktuelle-Nachrichten-Schleswig-Holstein/Nachrichten-Schleswig-Holstein/Verdaechtiger-zeigte-Ort-Mordkommission-findet-Leiche-auf-Amrum,international,EMM,Günter Schellhase,[Günter Schellhase],"[Kiel Schleswig-holstein, G Nter, Kieler Nachrichten, Digitale Angebote]",X
0,https://www.la-croix.com/Economie/Social/Reformes-sociales-acte-II-Emmanuel-Macron-recoit-syndicats-patronat-2017-10-12-1200883684?from_univers=lacroix,https://www.la-croix.com/Economie/Social/Reformes-sociales-acte-II-Emmanuel-Macron-recoit-syndicats-patronat-2017-10-12-1200883684?from_univers=lacroix,international,EMM,Vincent de Féligonde (with AFP),[Vincent de Féligonde (avec AFP)],"[La-croix Com, Vincent De F Ligonde Avec Afp, Ludovic Marin Afp]",Vincent de Féligonde (avec AFP)
0,http://www.mid-day.com/articles/mumbai-crime-news-serial-molester-arrested-for-molesting-us-woman-in-powai/18672150,http://www.mid-day.com/articles/mumbai-crime-news-serial-molester-arrested-for-molesting-us-woman-in-powai/18672150,international,EMM,A Correspondent,[],[],X
0,http://www.nationnews.com/nationnews/news/101523/canadians-facing-drug-charges,http://www.nationnews.com/nationnews/news/101523/canadians-facing-drug-charges,international,EMM,X,[],[Nation News Author],X
0,https://www.oblad.no/ostfoldbanen/nsb/jernbane/stoppet-togtrafikken-pa-grunn-av-personer-pa-skinnene/s/5-68-333293,https://www.oblad.no/ostfoldbanen/nsb/jernbane/stoppet-togtrafikken-pa-grunn-av-personer-pa-skinnene/s/5-68-333293,international,EMM,Eirik Løkkemoen Bjerklund,[Eirik Løkkemoen Bjerklund],[],Eirik Løkkemoen Bjerklund
0,http://www.polit.ru/article/2017/10/23/pension/,http://www.polit.ru/article/2017/10/23/pension/,international,EMM,YURI GORLIN,[],[],Юрий Горлин
0,https://www.retten.no/vann/tolga/nyheter/i-flere-uker-har-mange-tolginger-mattet-koke-drikkevannet-na-tar-kommunen-grep/s/5-44-198431,https://www.retten.no/vann/tolga/nyheter/i-flere-uker-har-mange-tolginger-mattet-koke-drikkevannet-na-tar-kommunen-grep/s/5-44-198431,international,EMM,Tonje Hovensjø Løkken,[Tonje Hovensjø Løkken],"[Tonje Hovensj, L Kken]",Tonje Hovensjø Løkken
0,https://news.gov.scot/news/fairer-approach-to-employment,https://news.gov.scot/news/fairer-approach-to-employment,international,EMM,X,[],[],X
0,http://www.blackreport.com/archives/2017/10/23/issa-rae-has-a-90s-la-drama-in-the-works/,http://www.blackreport.com/archives/2017/10/23/issa-rae-has-a-90s-la-drama-in-the-works/,african american media,AAM,BR NEWS DESK,[],[Br News Desk],BR News Desk
0,http://defendernetwork.com/art-entertainment/celebrity/sgt-s-widow-myeshia-johnson-speaks-trump-call/,http://defendernetwork.com/art-entertainment/celebrity/sgt-s-widow-myeshia-johnson-speaks-trump-call/,african american media,AAM,Defender News Service,[],[Defender News Service],Defender News Service
0,https://www.finalcall.com/artman/publish/National_News_2/article_103844.shtml,https://www.finalcall.com/artman/publish/National_News_2/article_103844.shtml,african american media,AAM,"ASKIA MUHAMMAD AND RICHARD B. MUHAMMAD, FINAL CALL STAFFERS",[],[],X
0,http://sacobserver.com/2017/10/local-entrepreneur-spearheads-donation-drive-for-hurricane-survivors-in-the-caribbean-and-puerto-rico/,http://sacobserver.com/2017/10/local-entrepreneur-spearheads-donation-drive-for-hurricane-survivors-in-the-caribbean-and-puerto-rico/,african american media,AAM,Observer Staff,[],[Observer Staff],Observer Staff
0,https://www.theroot.com/the-nfl-protests-are-a-perfect-study-of-how-white-supre-1819769290,https://www.theroot.com/the-nfl-protests-are-a-perfect-study-of-how-white-supre-1819769290,african american media,AAM,Michael Harriot,[],"[Michael Harriot Is A Staff Writer At The Root Host Of The Black One Podcast Editor-in-chief Of The Digital Magazine Neguswhoread He Always Has The Big Joker The Double Five, Michael Harriot, About The Author]",Michael Harriot
0,http://verysmartbrothas.com/moving-day/,http://verysmartbrothas.com/moving-day/,african american media,AAM,Damon Young,[],"[Bm Superman, Mary Burrell, Damon Young, Jordan Kauwling, Miss T-lee, Panama Jackson, You Know I M Sawcy, Wangari Kimiri, Morgan Thomas, Keith Reed]",Damon Young
0,http://www.whataboutourdaughters.com/waod/2016/8/13/before-you-go-see-nate-parkers-birth-of-a-nation.html,http://www.whataboutourdaughters.com/waod/2016/8/13/before-you-go-see-nate-parkers-birth-of-a-nation.html,african american media,AAM,The Blogmother,[],"[Author Url, Author Email]",The Blogmother
